title,listed_in,description,content
Whisky,"Comedies, Dramas, International Movies","To impress family, a factory owner pretends to be married to one of his employees, and soon, the ""couple"" finds their lives radically altered.","Title: Whisky | Genre: Comedies, Dramas, International Movies | Description: To impress family, a factory owner pretends to be married to one of his employees, and soon, the ""couple"" finds their lives radically altered."
Fortune Feimster: Sweet & Salty,Stand-Up Comedy,"Actor, comedian and writer Fortune Feimster takes the stage and riffs on her southern roots, sexual awakenings, showbiz career and more.","Title: Fortune Feimster: Sweet & Salty | Genre: Stand-Up Comedy | Description: Actor, comedian and writer Fortune Feimster takes the stage and riffs on her southern roots, sexual awakenings, showbiz career and more."
KD (A) Karuppudurai,"Comedies, Dramas, Independent Movies","As his children plot his death to claim their inheritance, an aging patriarch leaves home, befriending a spunky boy who adds direction to his life.","Title: KD (A) Karuppudurai | Genre: Comedies, Dramas, Independent Movies | Description: As his children plot his death to claim their inheritance, an aging patriarch leaves home, befriending a spunky boy who adds direction to his life."
DreamWorks How to Train Your Dragon Legends,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","In this set of shorts, Hiccup and the gang learn about different species of dragons. Then, Gobber goes in search of the Boneknapper Dragon.","Title: DreamWorks How to Train Your Dragon Legends | Genre: Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy | Description: In this set of shorts, Hiccup and the gang learn about different species of dragons. Then, Gobber goes in search of the Boneknapper Dragon."
Motichoor Chaknachoor,"Comedies, Dramas, International Movies","Pushing 40 and unemployed, a Dubai returnee desperate for a wife catches the eye of a Bhopal belle, who sees him solely as her ticket out of India.","Title: Motichoor Chaknachoor | Genre: Comedies, Dramas, International Movies | Description: Pushing 40 and unemployed, a Dubai returnee desperate for a wife catches the eye of a Bhopal belle, who sees him solely as her ticket out of India."
WHAT DID JACK DO?,"Dramas, Independent Movies",A detective interrogates a monkey who is suspected of murder.,"Title: WHAT DID JACK DO? | Genre: Dramas, Independent Movies | Description: A detective interrogates a monkey who is suspected of murder."
The Bling Ring,"Dramas, Independent Movies","Based on fact, this comic thriller tracks the saga of the Hollywood Hills Burglar Bunch, who used the Web to time their robberies of stars' homes.","Title: The Bling Ring | Genre: Dramas, Independent Movies | Description: Based on fact, this comic thriller tracks the saga of the Hollywood Hills Burglar Bunch, who used the Web to time their robberies of stars' homes."
A Fall from Grace,"Dramas, Thrillers","When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry.","Title: A Fall from Grace | Genre: Dramas, Thrillers | Description: When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry."
Ares,"International TV Shows, TV Dramas, TV Horror","Aiming to become part of Amsterdam's elite, an ambitious college student joins an exclusive society, unaware it's hiding a horrifying secret.","Title: Ares | Genre: International TV Shows, TV Dramas, TV Horror | Description: Aiming to become part of Amsterdam's elite, an ambitious college student joins an exclusive society, unaware it's hiding a horrifying secret."
Hip-Hop Evolution,"Docuseries, International TV Shows","Interviews with influential MCs, DJs and moguls trace the genre's dynamic evolution from the 1970s through the 1990s in this documentary series.","Title: Hip-Hop Evolution | Genre: Docuseries, International TV Shows | Description: Interviews with influential MCs, DJs and moguls trace the genre's dynamic evolution from the 1970s through the 1990s in this documentary series."
Nailed It! Germany,"International TV Shows, Reality TV","Home cooks try – and inevitably fail – to re-create spectacular confections on this comical competition show, all for a sweet 5,000 euros.","Title: Nailed It! Germany | Genre: International TV Shows, Reality TV | Description: Home cooks try – and inevitably fail – to re-create spectacular confections on this comical competition show, all for a sweet 5,000 euros."
Tiny House Nation,Reality TV,"Traveling the U.S., host John Weisbarth and expert Zack Giffin are helping families prep for the tiny lifestyle and create hypercustomized mini homes.","Title: Tiny House Nation | Genre: Reality TV | Description: Traveling the U.S., host John Weisbarth and expert Zack Giffin are helping families prep for the tiny lifestyle and create hypercustomized mini homes."
Deadcon,Horror Movies,"A group of uber-popular, social media influencers’ trip to a digital media festival grows dark when an evil spirit wants to lure them to their demise.","Title: Deadcon | Genre: Horror Movies | Description: A group of uber-popular, social media influencers’ trip to a digital media festival grows dark when an evil spirit wants to lure them to their demise."
Handsome Siblings,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","Clashing martial arts twins face relentless villains, thorny romance and brotherly rivalry as their troubled pasts catch up to them.","Title: Handsome Siblings | Genre: International TV Shows, TV Dramas, TV Sci-Fi & Fantasy | Description: Clashing martial arts twins face relentless villains, thorny romance and brotherly rivalry as their troubled pasts catch up to them."
Hop,"Children & Family Movies, Comedies",A jobless slacker finds himself beyond busy after he runs over the Easter Bunny and has to take over the rabbit's duties so the holiday can continue.,"Title: Hop | Genre: Children & Family Movies, Comedies | Description: A jobless slacker finds himself beyond busy after he runs over the Easter Bunny and has to take over the rabbit's duties so the holiday can continue."
Jezebel,"Dramas, Independent Movies","During the internet's infancy, a vulnerable woman follows her sister into the sex industry as a webcam model but her sudden popularity tests their bond.","Title: Jezebel | Genre: Dramas, Independent Movies | Description: During the internet's infancy, a vulnerable woman follows her sister into the sex industry as a webcam model but her sudden popularity tests their bond."
Legend,"Dramas, International Movies, Thrillers",Identical twins and notorious gangsters Reggie and Ronnie Kray elude the authorities in 1960s London while transfixing and terrifying the public.,"Title: Legend | Genre: Dramas, International Movies, Thrillers | Description: Identical twins and notorious gangsters Reggie and Ronnie Kray elude the authorities in 1960s London while transfixing and terrifying the public."
NiNoKuni,"Action & Adventure, Anime Features, Children & Family Movies",Two average teens go on a magical quest to save the life of their friend and her counterpart from another world. But love complicates their journey.,"Title: NiNoKuni | Genre: Action & Adventure, Anime Features, Children & Family Movies | Description: Two average teens go on a magical quest to save the life of their friend and her counterpart from another world. But love complicates their journey."
Soul Eater,"Anime Series, International TV Shows","Maka and the other students at the Death Weapon Meister Academy must kill 99 evil humans and one witch, absorbing their spirits when they die.","Title: Soul Eater | Genre: Anime Series, International TV Shows | Description: Maka and the other students at the Death Weapon Meister Academy must kill 99 evil humans and one witch, absorbing their spirits when they die."
Steve Jobs,Dramas,"By keying in on three crucial points in his career, this biopic shows the human foibles and visionary fearlessness of the man who made the Mac.","Title: Steve Jobs | Genre: Dramas | Description: By keying in on three crucial points in his career, this biopic shows the human foibles and visionary fearlessness of the man who made the Mac."
Bulbul Can Sing,"Dramas, Independent Movies, International Movies","Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy.","Title: Bulbul Can Sing | Genre: Dramas, Independent Movies, International Movies | Description: Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy."
Eye For An Eye,"Dramas, International Movies, Thrillers","A cartel boss is released from prison and unknowingly put in the care of a vengeful nurse, whose life was tragically impacted by the drug lord.","Title: Eye For An Eye | Genre: Dramas, International Movies, Thrillers | Description: A cartel boss is released from prison and unknowingly put in the care of a vengeful nurse, whose life was tragically impacted by the drug lord."
Killer Inside: The Mind of Aaron Hernandez,"Crime TV Shows, Docuseries","Via interviews with friends, players and insiders, this docuseries examines how Aaron Hernandez went from an NFL star to a convicted killer.","Title: Killer Inside: The Mind of Aaron Hernandez | Genre: Crime TV Shows, Docuseries | Description: Via interviews with friends, players and insiders, this docuseries examines how Aaron Hernandez went from an NFL star to a convicted killer."
MindGamers,"International Movies, Sci-Fi & Fantasy, Thrillers","Brilliant young students discover a breakthrough that could change humankind, but soon find themselves the subjects of a much bigger experiment.","Title: MindGamers | Genre: International Movies, Sci-Fi & Fantasy, Thrillers | Description: Brilliant young students discover a breakthrough that could change humankind, but soon find themselves the subjects of a much bigger experiment."
The Brave,"Action & Adventure, Independent Movies","With entry into the European Union at stake, Albania must rely on a mash-up of elite cops to take down a slippery drug lord dominating its economy.","Title: The Brave | Genre: Action & Adventure, Independent Movies | Description: With entry into the European Union at stake, Albania must rely on a mash-up of elite cops to take down a slippery drug lord dominating its economy."
Leslie Jones: Time Machine,Stand-Up Comedy,"From trying to seduce Prince to battling sleep apnea, Leslie Jones traces her evolution as an adult in a joyfully raw and outrageous stand-up special.","Title: Leslie Jones: Time Machine | Genre: Stand-Up Comedy | Description: From trying to seduce Prince to battling sleep apnea, Leslie Jones traces her evolution as an adult in a joyfully raw and outrageous stand-up special."
The Ollie & Moon Show,Kids' TV,"Two quirky cats, Ollie and Moon, and their friend Stanley the snail travel the world, solving everyday problems and learning about different cultures.","Title: The Ollie & Moon Show | Genre: Kids' TV | Description: Two quirky cats, Ollie and Moon, and their friend Stanley the snail travel the world, solving everyday problems and learning about different cultures."
Women of Mafia 2,"Action & Adventure, Dramas, International Movies","When a major drug deal goes sour, the queen of the Warsaw underworld must contend with a rival criminal, a crossed ally and a religious fighter.","Title: Women of Mafia 2 | Genre: Action & Adventure, Dramas, International Movies | Description: When a major drug deal goes sour, the queen of the Warsaw underworld must contend with a rival criminal, a crossed ally and a religious fighter."
The Healing Powers of Dude,"Kids' TV, TV Comedies, TV Dramas","When an 11-year-old boy with social anxiety disorder starts middle school, he finds strength in a scruffy emotional support dog named Dude.","Title: The Healing Powers of Dude | Genre: Kids' TV, TV Comedies, TV Dramas | Description: When an 11-year-old boy with social anxiety disorder starts middle school, he finds strength in a scruffy emotional support dog named Dude."
Betty White: First Lady of Television,Documentaries,This documentary on actress and television producer Betty White traces her decades-long career as a  woman breaking new ground in entertainment.,Title: Betty White: First Lady of Television | Genre: Documentaries | Description: This documentary on actress and television producer Betty White traces her decades-long career as a  woman breaking new ground in entertainment.
Made in China,"Comedies, Dramas, International Movies","After a trip to China, a struggling entrepreneur returns to India as the supplier of an illegal aphrodisiac — but all he ends up stimulating is chaos.","Title: Made in China | Genre: Comedies, Dramas, International Movies | Description: After a trip to China, a struggling entrepreneur returns to India as the supplier of an illegal aphrodisiac — but all he ends up stimulating is chaos."
AJ and the Queen,"TV Comedies, TV Dramas","While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.","Title: AJ and the Queen | Genre: TV Comedies, TV Dramas | Description: While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway."
Giri / Haji,"British TV Shows, Crime TV Shows, International TV Shows",Family duty sends a lawman to London to look for his mob-assassin brother as a yakuza war threatens to engulf Tokyo. Trust is even tougher to find.,"Title: Giri / Haji | Genre: British TV Shows, Crime TV Shows, International TV Shows | Description: Family duty sends a lawman to London to look for his mob-assassin brother as a yakuza war threatens to engulf Tokyo. Trust is even tougher to find."
Harvey Street Kids,"Kids' TV, TV Comedies","Kids rule in a place called Harvey Street, where a trio of girls right wrongs, ice cream is always an option, and every day feels like Saturday.","Title: Harvey Street Kids | Genre: Kids' TV, TV Comedies | Description: Kids rule in a place called Harvey Street, where a trio of girls right wrongs, ice cream is always an option, and every day feels like Saturday."
Jamtara - Sabka Number Ayega,"Crime TV Shows, International TV Shows, TV Dramas","A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme – and a cop wants to fight it.","Title: Jamtara - Sabka Number Ayega | Genre: Crime TV Shows, International TV Shows, TV Dramas | Description: A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme – and a cop wants to fight it."
Medical Police,"Crime TV Shows, TV Action & Adventure, TV Comedies",Doctors Owen Maestro and Lola Spratt leave Childrens Hospital and join a secret arm of the CDC to investigate and destroy a deadly global virus.,"Title: Medical Police | Genre: Crime TV Shows, TV Action & Adventure, TV Comedies | Description: Doctors Owen Maestro and Lola Spratt leave Childrens Hospital and join a secret arm of the CDC to investigate and destroy a deadly global virus."
Monsters: Dark Continent,"Action & Adventure, Dramas, Independent Movies",An American platoon stationed in the Middle East is thrust into battle with a breed of tentacled aliens whose rapid spread threatens human survival.,"Title: Monsters: Dark Continent | Genre: Action & Adventure, Dramas, Independent Movies | Description: An American platoon stationed in the Middle East is thrust into battle with a breed of tentacled aliens whose rapid spread threatens human survival."
The InBESTigators,"Kids' TV, TV Comedies","Four clever school kids start their own detective agency and vlog about their adventures, becoming fast friends in the process.","Title: The InBESTigators | Genre: Kids' TV, TV Comedies | Description: Four clever school kids start their own detective agency and vlog about their adventures, becoming fast friends in the process."
Until Dawn,"International TV Shows, Reality TV, TV Comedies",France’s funniest comics carry out ghastly tasks as they try to outlast – and outwit – one another while overnighting in haunted locations.,"Title: Until Dawn | Genre: International TV Shows, Reality TV, TV Comedies | Description: France’s funniest comics carry out ghastly tasks as they try to outlast – and outwit – one another while overnighting in haunted locations."
Bulletproof 2,"Action & Adventure, Comedies",A special agent abruptly reunites with a criminal – once a former friend – when he attempts to use his identity to infiltrate and take down a cartel.,"Title: Bulletproof 2 | Genre: Action & Adventure, Comedies | Description: A special agent abruptly reunites with a criminal – once a former friend – when he attempts to use his identity to infiltrate and take down a cartel."
Cheer,"Docuseries, Reality TV, Teen TV Shows",This gripping docuseries follows the ups and downs of Navarro College's competitive cheer squad as they work to win a coveted national title.,"Title: Cheer | Genre: Docuseries, Reality TV, Teen TV Shows | Description: This gripping docuseries follows the ups and downs of Navarro College's competitive cheer squad as they work to win a coveted national title."
A Ghost Story,"Dramas, Independent Movies","Following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open.","Title: A Ghost Story | Genre: Dramas, Independent Movies | Description: Following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open."
"Live Twice, Love Once","Comedies, Dramas, International Movies","When Emilio (Oscar Martínez) is diagnosed with Alzheimer's disease, he and his family embark on a quest to reunite him with his childhood crush.","Title: Live Twice, Love Once | Genre: Comedies, Dramas, International Movies | Description: When Emilio (Oscar Martínez) is diagnosed with Alzheimer's disease, he and his family embark on a quest to reunite him with his childhood crush."
Dracula,"British TV Shows, International TV Shows, TV Dramas",The Count Dracula legend transforms with new tales that flesh out the vampire's gory crimes – and bring his vulnerability into the light.,"Title: Dracula | Genre: British TV Shows, International TV Shows, TV Dramas | Description: The Count Dracula legend transforms with new tales that flesh out the vampire's gory crimes – and bring his vulnerability into the light."
All the Freckles in the World,"Comedies, International Movies, Romantic Movies",Thirteen-year-old José Miguel is immune to 1994 World Cup fever until he realizes soccer is the only way to win the heart of his crush.,"Title: All the Freckles in the World | Genre: Comedies, International Movies, Romantic Movies | Description: Thirteen-year-old José Miguel is immune to 1994 World Cup fever until he realizes soccer is the only way to win the heart of his crush."
Anne with an E,"International TV Shows, TV Dramas, Teen TV Shows","A plucky orphan whose passions run deep finds an unlikely home with a spinster and her soft-spoken bachelor brother. Based on ""Anne of Green Gables.""","Title: Anne with an E | Genre: International TV Shows, TV Dramas, Teen TV Shows | Description: A plucky orphan whose passions run deep finds an unlikely home with a spinster and her soft-spoken bachelor brother. Based on ""Anne of Green Gables."""
Half Girlfriend,"Dramas, International Movies, Romantic Movies","Small-town Madhav falls for big-city Riya and wants her to be his girlfriend. But she views their relationship differently, and suggests a compromise.","Title: Half Girlfriend | Genre: Dramas, International Movies, Romantic Movies | Description: Small-town Madhav falls for big-city Riya and wants her to be his girlfriend. But she views their relationship differently, and suggests a compromise."
"Sex, Explained","Docuseries, Science & Nature TV","From the biology of attraction to the history of birth control, explore the ins and outs of sex in this entertaining and enlightening series.","Title: Sex, Explained | Genre: Docuseries, Science & Nature TV | Description: From the biology of attraction to the history of birth control, explore the ins and outs of sex in this entertaining and enlightening series."
Thieves of the Wood,"International TV Shows, TV Action & Adventure, TV Dramas",Charismatic highwayman Jan de Lichte leads the oppressed and downtrodden in a revolt against the corrupt aristocracy of 18th-century Flanders.,"Title: Thieves of the Wood | Genre: International TV Shows, TV Action & Adventure, TV Dramas | Description: Charismatic highwayman Jan de Lichte leads the oppressed and downtrodden in a revolt against the corrupt aristocracy of 18th-century Flanders."
Aruna & Her Palate,"Dramas, International Movies","An epidemiologist turns her nationwide bird flu investigation into a chance to sample local delicacies en route, with three friends along for the ride.","Title: Aruna & Her Palate | Genre: Dramas, International Movies | Description: An epidemiologist turns her nationwide bird flu investigation into a chance to sample local delicacies en route, with three friends along for the ride."
Because This Is My First Life,"International TV Shows, Korean TV Shows, Romantic TV Shows","Two housemates get married for financial convenience, but discover nothing is simple when it comes to demanding in-laws, or facing their growing bond.","Title: Because This Is My First Life | Genre: International TV Shows, Korean TV Shows, Romantic TV Shows | Description: Two housemates get married for financial convenience, but discover nothing is simple when it comes to demanding in-laws, or facing their growing bond."
Border Security: America's Front Line,"Crime TV Shows, International TV Shows, Reality TV",This reality series chronicles the behind-the-scenes action as U.S. Customs and Border Protection agents safeguard the nation's crossings and ports.,"Title: Border Security: America's Front Line | Genre: Crime TV Shows, International TV Shows, Reality TV | Description: This reality series chronicles the behind-the-scenes action as U.S. Customs and Border Protection agents safeguard the nation's crossings and ports."
Breaking the Bank,"Comedies, International Movies",Bank chairman Charles Bunbury – who knows next to nothing about banking – fights to save both his company and his marriage from disaster.,"Title: Breaking the Bank | Genre: Comedies, International Movies | Description: Bank chairman Charles Bunbury – who knows next to nothing about banking – fights to save both his company and his marriage from disaster."
Cells at Work!,"Anime Series, Teen TV Shows","One newcomer red blood cell just wants to do her job. Between bacteria incursions and meeting a certain white blood cell, she's got a lot to learn!","Title: Cells at Work! | Genre: Anime Series, Teen TV Shows | Description: One newcomer red blood cell just wants to do her job. Between bacteria incursions and meeting a certain white blood cell, she's got a lot to learn!"
Chhota Bheem Kung Fu Dhamaka Series,Kids' TV,"From kung fu battles to run-ins with bandits, life in an empire far away from home is an endless adventure for Chhota Bheem and his buddies.","Title: Chhota Bheem Kung Fu Dhamaka Series | Genre: Kids' TV | Description: From kung fu battles to run-ins with bandits, life in an empire far away from home is an endless adventure for Chhota Bheem and his buddies."
Garfield Gets Real,"Children & Family Movies, Comedies","After trying to live in the ""real world"" and concluding it isn't for him, Garfield must return to his comic-strip home before getting trapped forever.","Title: Garfield Gets Real | Genre: Children & Family Movies, Comedies | Description: After trying to live in the ""real world"" and concluding it isn't for him, Garfield must return to his comic-strip home before getting trapped forever."
Garfield's Fun Fest,"Children & Family Movies, Comedies","Garfield has long been the champ at a yearly competition for the funniest comic strip. But this time, Garfield must battle tall, handsome Ramone.","Title: Garfield's Fun Fest | Genre: Children & Family Movies, Comedies | Description: Garfield has long been the champ at a yearly competition for the funniest comic strip. But this time, Garfield must battle tall, handsome Ramone."
Garfield's Pet Force,"Children & Family Movies, Comedies","When an alien menace and her army of undead minions threaten to enslave the world, Garfield heads a team of comic-strip superheroes to save the day.","Title: Garfield's Pet Force | Genre: Children & Family Movies, Comedies | Description: When an alien menace and her army of undead minions threaten to enslave the world, Garfield heads a team of comic-strip superheroes to save the day."
Ghost Stories,"Horror Movies, International Movies, Thrillers","The directors of Emmy-nominated ""Lust Stories"" (Zoya Akhtar, Anurag Kashyap, Dibakar Banerjee and Karan Johar) reunite for this quartet of thrillers.","Title: Ghost Stories | Genre: Horror Movies, International Movies, Thrillers | Description: The directors of Emmy-nominated ""Lust Stories"" (Zoya Akhtar, Anurag Kashyap, Dibakar Banerjee and Karan Johar) reunite for this quartet of thrillers."
Jeff Dunham: Unhinged in Hollywood,Stand-Up Comedy,Unfiltered ventriloquist Jeff Dunham brings his ragtag crew of puppet pals to Hollywood for big laughs about celebrity culture and California living.,Title: Jeff Dunham: Unhinged in Hollywood | Genre: Stand-Up Comedy | Description: Unfiltered ventriloquist Jeff Dunham brings his ragtag crew of puppet pals to Hollywood for big laughs about celebrity culture and California living.
Jimmy Neutron: Boy Genius,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When gooey green aliens kidnap all the adults in Retroville, it's up to 11-year-old Jimmy Neutron to come up with a plan to rescue them.","Title: Jimmy Neutron: Boy Genius | Genre: Children & Family Movies, Comedies, Sci-Fi & Fantasy | Description: When gooey green aliens kidnap all the adults in Retroville, it's up to 11-year-old Jimmy Neutron to come up with a plan to rescue them."
Live Up To Your Name,"International TV Shows, Korean TV Shows, Romantic TV Shows","Pushed together by twists of time, a Joseon doctor and a cardiac surgeon overcome their 400-year divide as they learn and heal through each other.","Title: Live Up To Your Name | Genre: International TV Shows, Korean TV Shows, Romantic TV Shows | Description: Pushed together by twists of time, a Joseon doctor and a cardiac surgeon overcome their 400-year divide as they learn and heal through each other."
Luccas Neto in: Children's Day,"Children & Family Movies, Comedies, Music & Musicals","When Luccas Neto plans a big Children's Day celebration, an unexpected threat at school puts the party – and his friends – at risk.","Title: Luccas Neto in: Children's Day | Genre: Children & Family Movies, Comedies, Music & Musicals | Description: When Luccas Neto plans a big Children's Day celebration, an unexpected threat at school puts the party – and his friends – at risk."
Messiah,"TV Dramas, TV Thrillers",A wary CIA officer investigates a charismatic man who sparks a spiritual movement and stirs political unrest. A fictional story not based on true events.,"Title: Messiah | Genre: TV Dramas, TV Thrillers | Description: A wary CIA officer investigates a charismatic man who sparks a spiritual movement and stirs political unrest. A fictional story not based on true events."
Mia and Me,Kids' TV,"A mysterious gift from her late parents sends 12-year-old Mia into an enchanted world of elves, unicorns and an evil queen named Panthea.","Title: Mia and Me | Genre: Kids' TV | Description: A mysterious gift from her late parents sends 12-year-old Mia into an enchanted world of elves, unicorns and an evil queen named Panthea."
"Nisman: The Prosecutor, the President, and the Spy","Crime TV Shows, Docuseries, International TV Shows","This docuseries details the suspicious death of Alberto Nisman, investigator of the 1994 bombing of the Argentine Israelite Mutual Association building.","Title: Nisman: The Prosecutor, the President, and the Spy | Genre: Crime TV Shows, Docuseries, International TV Shows | Description: This docuseries details the suspicious death of Alberto Nisman, investigator of the 1994 bombing of the Argentine Israelite Mutual Association building."
Pan's Labyrinth,"Dramas, International Movies, Sci-Fi & Fantasy",Young Ofelia meets a mythical faun who claims she is destined to become princess of the Underworld. But first she must carry out three perilous tasks.,"Title: Pan's Labyrinth | Genre: Dramas, International Movies, Sci-Fi & Fantasy | Description: Young Ofelia meets a mythical faun who claims she is destined to become princess of the Underworld. But first she must carry out three perilous tasks."
Pokémon the Movie: Power of Us,"Anime Features, Children & Family Movies","Ash and Pikachu journey to Fula City for its Wind Festival. When disaster looms, they must work together with a group of misfits to save the day!","Title: Pokémon the Movie: Power of Us | Genre: Anime Features, Children & Family Movies | Description: Ash and Pikachu journey to Fula City for its Wind Festival. When disaster looms, they must work together with a group of misfits to save the day!"
Posesif,"Dramas, International Movies, Romantic Movies",A student diver risks her scholastic future and relationship with her father when she dates a moody transfer student consumed by their romance.,"Title: Posesif | Genre: Dramas, International Movies, Romantic Movies | Description: A student diver risks her scholastic future and relationship with her father when she dates a moody transfer student consumed by their romance."
Reply 1988,"International TV Shows, Korean TV Shows, Romantic TV Shows",Take a nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.,"Title: Reply 1988 | Genre: International TV Shows, Korean TV Shows, Romantic TV Shows | Description: Take a nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul."
Riot,Action & Adventure,"Seeking vengeance for the murder of his wife, a cop robs a bank in order to be thrown into prison with the Russian kingpin who ruined his life.","Title: Riot | Genre: Action & Adventure | Description: Seeking vengeance for the murder of his wife, a cop robs a bank in order to be thrown into prison with the Russian kingpin who ruined his life."
Road Trip: Beer Pong,Comedies,"When three college pals hit the road to compete in a big-time beer pong tournament, their trip morphs into an outrageous odyssey.","Title: Road Trip: Beer Pong | Genre: Comedies | Description: When three college pals hit the road to compete in a big-time beer pong tournament, their trip morphs into an outrageous odyssey."
Save Me,"International TV Shows, Korean TV Shows, TV Dramas",Four young men come to the rescue of a former classmate whose family has been sucked into the clutches of a religious cult and its charismatic leader.,"Title: Save Me | Genre: International TV Shows, Korean TV Shows, TV Dramas | Description: Four young men come to the rescue of a former classmate whose family has been sucked into the clutches of a religious cult and its charismatic leader."
Spinning Out,TV Dramas,"A figure skating Olympic hopeful struggles to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.","Title: Spinning Out | Genre: TV Dramas | Description: A figure skating Olympic hopeful struggles to balance love, family and fragile mental health as her dream of winning takes a dizzying hold."
The Bride of Habaek,"International TV Shows, Korean TV Shows, Romantic TV Shows","When a quest for divine stones in the human world goes awry, the water god Habaek seeks help from a psychiatrist predestined to serve him.","Title: The Bride of Habaek | Genre: International TV Shows, Korean TV Shows, Romantic TV Shows | Description: When a quest for divine stones in the human world goes awry, the water god Habaek seeks help from a psychiatrist predestined to serve him."
Aaviri,"Horror Movies, International Movies, Thrillers","After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit.","Title: Aaviri | Genre: Horror Movies, International Movies, Thrillers | Description: After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit."
Albert Pinto Ko Gussa Kyun Aata Hai?,"Dramas, Independent Movies, International Movies","As the police investigate his disappearance, a young man heads to Goa to carry out an act of vengeance fueled by years of pent-up anger toward society.","Title: Albert Pinto Ko Gussa Kyun Aata Hai? | Genre: Dramas, Independent Movies, International Movies | Description: As the police investigate his disappearance, a young man heads to Goa to carry out an act of vengeance fueled by years of pent-up anger toward society."
ARASHI's Diary -Voyage-,"Docuseries, International TV Shows","Twenty years after their debut, join the beloved members of Arashi on a new journey as they showcase their lives, talents and gifts to the world.","Title: ARASHI's Diary -Voyage- | Genre: Docuseries, International TV Shows | Description: Twenty years after their debut, join the beloved members of Arashi on a new journey as they showcase their lives, talents and gifts to the world."
Benchwarmers 2: Breaking Balls,"Comedies, Sports Movies",A rookie lawyer with an emasculating past in baseball can break into the legal world only if he manages a law firm's ragtag company softball team.,"Title: Benchwarmers 2: Breaking Balls | Genre: Comedies, Sports Movies | Description: A rookie lawyer with an emasculating past in baseball can break into the legal world only if he manages a law firm's ragtag company softball team."
How High 2,Comedies,"When a pair of friends uncover a weed Bible, their magical stash gets stolen, sending them on a pot-fueled quest through Atlanta to find it.","Title: How High 2 | Genre: Comedies | Description: When a pair of friends uncover a weed Bible, their magical stash gets stolen, sending them on a pot-fueled quest through Atlanta to find it."
Occupied,"International TV Shows, TV Dramas, TV Thrillers","In the near future, Russia initiates a ""silk glove"" invasion of Norway to restart oil production, but soon uncertainty, chaos and danger erupt.","Title: Occupied | Genre: International TV Shows, TV Dramas, TV Thrillers | Description: In the near future, Russia initiates a ""silk glove"" invasion of Norway to restart oil production, but soon uncertainty, chaos and danger erupt."
Pucca: Love Recipe,"Kids' TV, Korean TV Shows","Faced with a threat to the survival of her family restaurant, as well as a rival for Garu's heart, Pucca fights for all that she loves.","Title: Pucca: Love Recipe | Genre: Kids' TV, Korean TV Shows | Description: Faced with a threat to the survival of her family restaurant, as well as a rival for Garu's heart, Pucca fights for all that she loves."
Rainbow Ruby,Kids' TV,"Ruby makes magical journeys with her teddy bear Choco to Rainbow Village, where her toys come to life – and where there's always a problem to solve!","Title: Rainbow Ruby | Genre: Kids' TV | Description: Ruby makes magical journeys with her teddy bear Choco to Rainbow Village, where her toys come to life – and where there's always a problem to solve!"
Robot Trains,"Kids' TV, Korean TV Shows","Keeping peace and safety in Train World is no easy task, but for five trains with the power to transform into robots, every crisis is an adventure!","Title: Robot Trains | Genre: Kids' TV, Korean TV Shows | Description: Keeping peace and safety in Train World is no easy task, but for five trains with the power to transform into robots, every crisis is an adventure!"
The Degenerates,"Stand-Up Comedy & Talk Shows, TV Comedies",Six stand-ups explore the coarse and salacious side of comedy in this series of half-hour specials. For mature audiences.,"Title: The Degenerates | Genre: Stand-Up Comedy & Talk Shows, TV Comedies | Description: Six stand-ups explore the coarse and salacious side of comedy in this series of half-hour specials. For mature audiences."
